#BaseNum	Read1_linear	Read1_log	Read2_linear	Read2_log
1	32.735	32.293	32.426	31.877
2	32.907	32.331	32.546	31.717
3	32.954	32.411	32.601	31.856
4	36.458	35.899	36.218	35.363
5	36.415	35.898	36.227	35.546
6	36.411	35.934	36.251	35.655
7	36.415	35.928	36.266	35.667
8	36.402	35.826	36.255	35.532
9	38.188	37.159	37.983	36.693
10	38.179	37.103	37.974	36.618
11	38.168	37.064	37.957	36.536
12	38.135	36.276	37.947	36.477
13	38.133	36.927	37.922	36.091
14	39.602	37.359	39.336	37.251
15	39.586	37.829	39.309	37.169
16	39.571	37.797	39.287	37.123
17	39.542	37.705	39.258	37.027
18	39.520	37.645	39.211	36.100
19	39.537	37.617	39.233	36.889
20	39.504	37.558	39.189	36.591
21	39.416	35.790	39.145	36.673
22	39.417	37.366	39.118	36.665
23	39.388	37.330	39.060	36.150
24	39.339	36.609	39.027	36.427
25	39.313	37.136	38.983	36.378
26	39.264	36.584	39.164	37.028
27	39.228	36.934	39.188	37.036
28	39.404	37.667	39.187	36.966
29	39.425	37.610	39.179	36.973
30	39.421	37.571	39.158	36.927
31	39.406	37.523	39.145	36.935
32	39.372	37.197	39.110	36.872
33	39.342	37.393	39.075	36.809
34	39.320	37.405	39.048	36.815
35	39.274	37.328	39.002	36.752
36	39.233	37.295	38.966	36.692
37	39.187	37.241	38.930	36.696
38	39.128	36.844	38.872	36.639
39	39.074	37.081	38.825	36.595
40	39.018	37.003	38.764	36.529
41	38.941	36.665	38.675	35.965
42	38.876	36.895	38.597	36.298
43	38.806	36.703	38.525	36.239
44	38.713	36.307	38.432	36.125
45	38.636	36.680	38.340	36.029
46	38.542	36.583	38.240	35.894
47	38.450	36.537	38.134	35.802
48	38.348	36.431	38.250	36.408
49	38.252	36.374	38.230	36.412
50	38.136	36.250	38.151	36.252
51	38.015	36.148	38.046	36.201
52	37.906	36.090	37.949	36.161
53	37.781	35.975	37.828	36.058
54	37.632	35.010	37.708	35.948
55	37.522	35.753	37.594	35.896
56	37.405	35.690	37.460	35.776
57	37.270	35.564	37.314	35.628
58	37.146	35.483	37.206	35.601
59	37.016	35.406	37.088	35.542
60	36.887	35.305	36.956	35.433
61	36.755	35.207	36.830	35.218
62	36.617	35.094	36.695	35.238
63	36.491	34.998	36.564	35.033
64	36.367	34.799	36.456	35.103
65	36.366	35.196	36.333	35.021
66	36.285	35.154	36.204	34.918
67	36.188	35.081	36.094	34.864
68	36.081	35.020	35.968	34.763
69	35.973	34.945	35.860	34.688
70	35.865	34.724	35.773	34.701
71	35.760	34.804	35.669	34.608
72	35.651	34.687	35.560	34.449
73	35.549	34.539	35.451	34.251
74	35.446	34.494	35.347	34.235
75	35.347	34.410	35.231	34.111
76	32.702	24.197	31.563	21.153
