#Quality	count1	fraction1	count2	fraction2
0	0	0.00000	0	0.00000
1	0	0.00000	0	0.00000
2	174586	0.00005	343152	0.00011
3	0	0.00000	0	0.00000
4	0	0.00000	0	0.00000
5	13	0.00000	8	0.00000
6	7902	0.00000	6187	0.00000
7	20130	0.00001	16270	0.00001
8	111412	0.00003	95130	0.00003
9	90248	0.00003	78524	0.00002
10	134544	0.00004	130525	0.00004
11	45122	0.00001	40237	0.00001
12	13062	0.00000	9592	0.00000
13	35971	0.00001	24940	0.00001
14	45835	0.00001	43121	0.00001
15	195540	0.00006	220116	0.00007
16	283899	0.00009	336571	0.00010
17	240305	0.00007	262380	0.00008
18	658580	0.00020	893373	0.00028
19	631457	0.00019	758269	0.00023
20	597506	0.00018	664000	0.00021
21	602948	0.00019	713903	0.00022
22	921945	0.00028	987316	0.00031
23	1921215	0.00059	2077362	0.00064
24	2486161	0.00076	2732680	0.00085
25	3448203	0.00106	3948120	0.00122
26	6283662	0.00193	7169380	0.00222
27	8569897	0.00264	9682959	0.00300
28	5937450	0.00183	6104086	0.00189
29	10876023	0.00335	12349240	0.00382
30	23318369	0.00717	25254299	0.00781
31	66731610	0.02053	74128136	0.02293
32	32358008	0.00995	34328441	0.01062
33	78550211	0.02416	79489332	0.02459
34	167602273	0.05156	162101415	0.05015
35	328617344	0.10109	314955623	0.09744
36	128133517	0.03942	129974542	0.04021
37	342270242	0.10529	336501995	0.10410
38	226897201	0.06980	239624801	0.07413
39	405335974	0.12469	397495608	0.12297
40	470673707	0.14479	488500773	0.15112
41	935881712	0.28790	900419586	0.27856
