#BaseNum	count_1	min_1	max_1	mean_1	Q1_1	med_1	Q3_1	LW_1	RW_1	count_2	min_2	max_2	mean_2	Q1_2	med_2	Q3_2	LW_2	RW_2
58	40806867	2	41	37.68	35	38	41	30	41	40562211	6	41	37.82	35	39	41	31	41
59	40606407	2	41	37.57	35	38	40	30	41	40370892	2	41	37.71	35	38	41	30	41
60	40402247	2	41	37.46	35	38	40	30	41	40166033	2	41	37.60	35	38	40	30	41
61	40193601	2	41	37.34	35	38	40	30	41	39954618	2	41	37.48	35	38	40	30	41
62	39980440	2	41	37.23	35	37	40	30	41	39726295	2	41	37.36	35	38	40	30	41
63	39754853	2	41	37.11	35	37	40	30	41	39497510	2	41	37.26	35	37	40	30	41
64	39561106	2	41	37.11	35	37	40	30	41	39256433	2	41	37.15	35	37	40	30	41
65	39350605	2	41	37.03	35	37	40	30	41	38998952	2	41	37.03	35	37	40	30	41
66	39125579	2	41	36.94	35	37	40	30	41	38732494	2	41	36.92	35	37	40	30	41
67	38890870	2	41	36.83	35	36	39	30	41	38450407	2	41	36.79	35	36	39	30	41
68	38637646	2	41	36.72	35	36	39	30	41	38153223	2	41	36.68	35	36	39	30	41
69	38317176	2	41	36.60	35	36	39	30	41	37789083	2	41	36.58	35	36	39	30	41
70	38019558	2	41	36.49	35	36	39	30	41	37437877	2	41	36.47	35	36	39	30	41
71	37708133	2	41	36.37	35	35	39	30	41	37073903	2	41	36.35	35	36	39	30	41
72	37254975	2	41	36.25	35	35	39	30	41	36573620	2	41	36.23	35	35	39	30	41
73	36300875	2	41	36.13	35	35	38	30	41	35601077	2	41	36.11	35	35	38	30	41
74	36223877	2	41	36.02	35	35	38	30	41	35484836	2	41	35.98	35	35	38	29	41
75	36114919	2	41	33.21	31	34	36	20	41	35273099	2	41	32.20	30	34	35	18	41
