#Length	Count
21	3
22	9
23	6
24	20
25	180668
26	182883
27	171694
28	178479
29	187065
30	190377
31	199900
32	205320
33	207286
34	214229
35	222799
36	226504
37	238697
38	244302
39	253505
40	274613
41	266268
42	268240
43	274244
44	266843
45	266511
46	267613
47	241961
48	250378
49	265073
50	277933
51	283631
52	297025
53	329312
54	318684
55	333416
56	358359
57	362820
58	372070
59	391779
60	409019
61	420061
62	441484
63	454372
64	434824
65	467982
66	491484
67	516796
68	550408
69	684610
70	648824
71	675399
72	953441
73	1926643
74	193239
75	320695
76	71388018
