#Mean	43.378
#Median	43.000
#Mode	45.000
#STDev	12.570
#GC	Count
0.0	311
1.0	203
2.0	192
3.0	371
4.0	297
5.0	809
6.0	788
7.0	2076
8.0	2142
9.0	6274
10.0	6889
11.0	18336
12.0	17269
13.0	44552
14.0	40815
15.0	98901
16.0	80368
17.0	187285
18.0	145750
19.0	314614
20.0	214928
21.0	475729
22.0	317126
23.0	648358
24.0	401504
25.0	818984
26.0	502942
27.0	971910
28.0	568994
29.0	1096287
30.0	656774
31.0	1197937
32.0	698281
33.0	1292264
34.0	766379
35.0	1368893
36.0	802603
37.0	1446393
38.0	875127
39.0	1522065
40.0	916237
41.0	1578524
42.0	1018925
43.0	1638605
44.0	1025398
45.0	1650450
46.0	1041312
47.0	1601226
48.0	990145
49.0	1499275
50.0	969821
51.0	1359663
52.0	847709
53.0	1219135
54.0	775805
55.0	1083678
56.0	698921
57.0	972855
58.0	648633
59.0	867458
60.0	566431
61.0	768364
62.0	494409
63.0	639965
64.0	403106
65.0	492655
66.0	305160
67.0	353800
68.0	212028
69.0	223908
70.0	135347
71.0	131318
72.0	77948
73.0	70417
74.0	41588
75.0	34494
76.0	19326
77.0	14935
78.0	8577
79.0	5980
80.0	3382
81.0	2264
82.0	1243
83.0	796
84.0	413
85.0	249
86.0	139
87.0	85
88.0	44
89.0	18
90.0	12
91.0	6
92.0	5
93.0	1
94.0	0
95.0	1
96.0	0
97.0	0
98.0	0
99.0	0
100.0	0
