#Quality	count1	fraction1	count2	fraction2
0	0	0.00000	0	0.00000
1	0	0.00000	0	0.00000
2	0	0.00000	0	0.00000
3	0	0.00000	0	0.00000
4	0	0.00000	0	0.00000
5	0	0.00000	0	0.00000
6	0	0.00000	0	0.00000
7	0	0.00000	0	0.00000
8	0	0.00000	0	0.00000
9	0	0.00000	0	0.00000
10	0	0.00000	0	0.00000
11	0	0.00000	0	0.00000
12	0	0.00000	0	0.00000
13	0	0.00000	0	0.00000
14	0	0.00000	0	0.00000
15	0	0.00000	0	0.00000
16	0	0.00000	0	0.00000
17	0	0.00000	0	0.00000
18	1	0.00000	0	0.00000
19	104	0.00000	166	0.00000
20	7238	0.00016	11180	0.00025
21	167449	0.00372	332083	0.00738
22	1780	0.00004	2615	0.00006
23	5862	0.00013	7857	0.00017
24	21377	0.00047	24559	0.00055
25	46955	0.00104	46064	0.00102
26	113379	0.00252	97502	0.00217
27	108852	0.00242	96986	0.00215
28	115302	0.00256	115476	0.00256
29	127890	0.00284	152386	0.00338
30	268266	0.00596	320623	0.00712
31	571397	0.01269	688831	0.01530
32	1164898	0.02587	1379654	0.03064
33	1998088	0.04438	2228094	0.04949
34	2943663	0.06538	3145816	0.06987
35	3928307	0.08725	4020714	0.08930
36	5731810	0.12731	5629255	0.12503
37	8046896	0.17872	7761614	0.17239
38	8500127	0.18879	8316351	0.18471
39	8901817	0.19771	8638494	0.19186
40	2252451	0.05003	2007588	0.04459
41	0	0.00000	1	0.00000
