#BaseNum	count_1	min_1	max_1	mean_1	Q1_1	med_1	Q3_1	LW_1	RW_1	count_2	min_2	max_2	mean_2	Q1_2	med_2	Q3_2	LW_2	RW_2
30	35006245	6	41	39.41	39	40	41	31	41	34754480	6	41	39.14	38	40	41	31	41
31	34933132	6	41	39.37	39	40	41	31	41	34634004	6	41	39.11	38	40	41	31	41
32	34858792	6	41	39.34	39	40	41	31	41	34510435	6	41	39.07	38	40	41	31	41
33	34783814	6	41	39.32	39	40	41	31	41	34385357	6	41	39.05	38	40	41	31	41
34	34705344	6	41	39.27	38	40	41	31	41	34255429	6	41	39.00	38	40	41	30	41
35	34622253	6	41	39.23	38	40	41	31	41	34120820	6	41	38.97	38	40	41	30	41
36	34536792	6	41	39.19	38	40	41	31	41	33984033	6	41	38.93	38	40	41	30	41
37	34444925	6	41	39.13	38	40	41	31	41	33840922	6	41	38.87	38	40	41	30	41
38	34350833	6	41	39.07	38	40	41	31	41	33692368	6	41	38.82	38	40	41	30	41
39	34253455	6	41	39.02	38	40	41	31	41	33538661	6	41	38.76	38	40	41	30	41
40	34147163	6	41	38.94	38	40	41	31	41	33373831	6	41	38.67	38	40	41	30	41
41	34043089	6	41	38.88	38	40	41	31	41	33211055	6	41	38.60	38	40	41	30	41
42	33936297	6	41	38.81	38	40	41	31	41	33050352	6	41	38.52	37	40	41	30	41
43	33818904	6	41	38.71	37	40	41	31	41	32892638	6	41	38.43	37	40	41	30	41
44	33705964	6	41	38.64	37	40	41	31	41	32736678	6	41	38.34	37	40	41	30	41
45	33589444	2	41	38.54	37	40	41	31	41	32585303	6	41	38.24	37	39	41	30	41
46	33470305	6	41	38.45	37	40	41	31	41	32435042	6	41	38.13	36	39	41	29	41
47	33344475	6	41	38.35	37	39	41	31	41	32320823	6	41	38.25	36	39	41	30	41
48	33216054	6	41	38.25	36	39	41	31	41	32201162	6	41	38.23	36	39	41	31	41
49	33081071	6	41	38.14	36	39	41	30	41	32070514	6	41	38.15	36	39	41	31	41
50	32939622	6	41	38.02	36	39	41	30	41	31931779	6	41	38.05	36	39	41	30	41
51	32795555	2	41	37.91	35	39	41	30	41	31791494	2	41	37.95	35	39	41	30	41
52	32645288	6	41	37.78	35	39	41	30	41	31642020	6	41	37.83	35	39	41	30	41
53	32471570	2	41	37.63	35	38	40	30	41	31485435	6	41	37.71	35	39	40	30	41
54	32309436	6	41	37.52	35	38	40	30	41	31327355	6	41	37.59	35	38	40	30	41
55	32142109	2	41	37.40	35	38	40	30	41	31158872	6	41	37.46	35	38	40	30	41
56	31963388	2	41	37.27	35	37	40	30	41	30976570	6	41	37.31	35	38	40	30	41
57	31780160	6	41	37.15	35	37	40	30	41	30797239	2	41	37.21	35	37	40	30	41
58	31593737	2	41	37.02	35	37	40	30	41	30610395	2	41	37.09	35	37	40	30	41
59	31402932	2	41	36.89	35	37	40	30	41	30411440	2	41	36.96	35	37	40	30	41
60	31209293	6	41	36.76	35	36	40	30	41	30201252	2	41	36.83	35	37	40	30	41
61	31010022	2	41	36.62	35	36	39	30	41	29982251	2	41	36.69	35	36	39	30	41
62	30807925	2	41	36.49	35	36	39	29	41	29749266	2	41	36.56	35	36	39	30	41
63	30595692	2	41	36.37	35	36	39	29	41	29518620	2	41	36.46	35	36	39	30	41
64	30413694	2	41	36.37	35	35	39	30	41	29275462	2	41	36.33	35	35	39	30	41
65	30217278	2	41	36.29	35	35	39	30	41	29018337	2	41	36.20	35	35	39	30	41
66	30009130	2	41	36.19	35	35	38	30	41	28756154	2	41	36.09	35	35	38	30	41
67	29790303	2	41	36.08	35	35	38	30	41	28478506	2	41	35.97	35	35	38	30	41
68	29558066	2	41	35.97	35	35	37	30	41	28191365	2	41	35.86	35	35	37	29	41
69	29267894	2	41	35.87	35	35	37	30	41	27840811	2	41	35.77	35	35	37	30	41
70	28992785	2	41	35.76	35	35	37	30	41	27501861	2	41	35.67	35	35	37	30	41
71	28705460	2	41	35.65	35	35	37	30	41	27156880	2	41	35.56	35	35	37	29	41
72	28331988	2	41	35.55	35	35	36	30	41	26736717	2	41	35.45	35	35	37	29	41
73	27598182	2	41	35.45	35	35	36	30	41	25990537	2	41	35.35	35	35	36	29	41
74	27537736	2	41	35.35	35	35	36	29	41	25887747	2	41	35.23	34	35	36	29	41
75	27439995	2	41	32.70	31	34	35	20	40	25672211	2	41	31.56	29	33	35	18	39
