#BaseNum	count_1	min_1	max_1	mean_1	Q1_1	med_1	Q3_1	LW_1	RW_1	count_2	min_2	max_2	mean_2	Q1_2	med_2	Q3_2	LW_2	RW_2
0	35399494	10	38	32.74	31	34	34	30	34	35399494	10	40	32.43	31	33	34	27	34
1	35399494	8	40	32.91	31	34	34	30	34	35399494	8	40	32.55	31	34	34	27	34
2	35399494	8	40	32.95	31	34	34	30	34	35399494	8	40	32.60	31	34	34	27	34
3	35399494	8	40	36.46	37	37	37	33	37	35399494	8	41	36.22	35	37	37	32	37
4	35399494	8	41	36.41	37	37	37	32	37	35399494	8	41	36.23	35	37	37	32	37
5	35399494	8	41	36.41	37	37	37	32	37	35399494	8	41	36.25	35	37	37	32	37
6	35399494	8	41	36.42	37	37	37	32	37	35399494	8	41	36.27	35	37	37	32	37
7	35399494	8	41	36.40	37	37	37	32	37	35399494	8	41	36.26	35	37	37	31	37
8	35399494	7	41	38.19	38	39	39	32	39	35399494	6	41	37.98	38	39	39	31	39
9	35399494	6	41	38.18	38	39	39	32	39	35399494	7	41	37.97	38	39	39	31	39
10	35399494	6	41	38.17	38	39	39	32	39	35399494	7	41	37.96	38	39	39	31	39
11	35399494	6	41	38.13	38	39	39	32	39	35399494	6	41	37.95	38	39	39	30	39
12	35399494	6	41	38.13	38	39	39	32	39	35399494	6	41	37.92	38	39	39	30	39
13	35399494	6	41	39.60	39	41	41	32	41	35399494	6	41	39.34	39	40	41	31	41
14	35399494	6	41	39.59	39	41	41	32	41	35399494	6	41	39.31	38	40	41	31	41
15	35399494	6	41	39.57	39	41	41	32	41	35399494	6	41	39.29	38	40	41	31	41
16	35399494	6	41	39.54	39	40	41	32	41	35399494	6	41	39.26	38	40	41	31	41
17	35399494	6	41	39.52	39	40	41	32	41	35399494	6	41	39.21	38	40	41	31	41
18	35399494	6	41	39.54	39	40	41	32	41	35399494	6	41	39.23	38	40	41	31	41
19	35399494	6	41	39.50	39	40	41	32	41	35399494	6	41	39.19	38	40	41	31	41
20	35399494	6	41	39.42	39	40	41	31	41	35399493	6	41	39.15	38	40	41	31	41
21	35399493	6	41	39.42	39	40	41	31	41	35399493	6	41	39.12	38	40	41	30	41
22	35399492	6	41	39.39	39	40	41	31	41	35399488	6	41	39.06	38	40	41	30	41
23	35399489	6	41	39.34	39	40	41	31	41	35399484	6	41	39.03	38	40	41	30	41
24	35399488	6	41	39.31	39	40	41	31	41	35399465	6	41	38.98	38	40	41	30	41
25	35329355	6	41	39.26	38	40	41	31	41	35301405	6	41	39.16	38	40	41	31	41
26	35260229	6	41	39.23	38	40	41	31	41	35197423	6	41	39.19	38	40	41	31	41
27	35202193	6	41	39.40	39	40	41	32	41	35091373	6	41	39.19	38	40	41	31	41
28	35140567	6	41	39.43	39	40	41	31	41	34982487	6	41	39.18	38	40	41	31	41
29	35074919	6	41	39.42	39	40	41	31	41	34868807	6	41	39.16	38	40	41	31	41
